timestamp,actor,category,description
2026-02-11T06:58:36.725424+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Sunday: off -> on
2026-02-11T06:58:31.483867+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Sunday: on -> off
2026-02-11T06:58:09.564081+00:00,Management,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_5
2026-02-11T06:57:52.270817+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T06:56:33.504816+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-11T06:56:24.003581+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 3
2026-02-11T06:52:48.771356+00:00,Management,Issues,Acknowledged issue (severe): This is from the AWS side. Can you see me?
2026-02-11T04:36:23.017549+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T04:35:54.119987+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T04:22:40.067346+00:00,Management,Schedule,Set 793A8C Schedule Start Time 1: 5:00 AM -> 1:00 AM
2026-02-11T04:21:59.296085+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T02:46:57.468977+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 5.0 min (pending wake)
2026-02-11T02:33:49.438353+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T02:33:05.769891+00:00,Management,Moisture Probes,Calibrate wet pressed for Gophr 2ac860 (FluxOpenHome Gophr) (3 sensors)
2026-02-11T02:32:05.176854+00:00,Management,Moisture Probes,Calibrate dry pressed for Gophr 2ac860 (FluxOpenHome Gophr) (3 sensors)
2026-02-11T02:31:39.205222+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 2
2026-02-11T02:10:40.860989+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T01:20:43.642082+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 5.0 min (pending wake)
2026-02-11T01:18:38.321003+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T01:17:14.263346+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T00:31:49.451101+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Master Valve -> Pump Start Relay
2026-02-11T00:29:19.509571+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 2
2026-02-11T00:29:12.277824+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Pump Start Relay -> Master Valve
2026-02-11T00:13:32.826000+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 2
2026-02-11T00:12:37.049163+00:00,Homeowner,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 1
2026-02-11T00:12:19.375050+00:00,Homeowner,Moisture Probes,Apply Factors to Schedule: Disabled -> Enabled
2026-02-11T00:11:34.857126+00:00,Homeowner,Moisture Probes,Apply Factors to Schedule: Enabled -> Disabled
2026-02-11T00:10:43.009829+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_6
2026-02-11T00:08:33.745095+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-11T00:07:54.112771+00:00,Homeowner,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 1 (6 head(s))
2026-02-11T00:07:13.249516+00:00,Homeowner,Schedule,Updated zone aliases (no changes)
2026-02-11T00:07:09.584028+00:00,Homeowner,Schedule,Zone alias Irrigation Ctrl V2 793A8C Zone 1: (default) -> Zone 1
2026-02-11T00:06:00.378218+00:00,Homeowner,Moisture Probes,Updated probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-10T23:34:59.469243+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-10T23:26:42.028717+00:00,Homeowner,Issues,Returned issue (severe): The sprinkler next to my mailbox is spraying water all over!!
2026-02-10T23:25:53.571593+00:00,Management,Issues,Resolved issue (severe): The sprinkler next to my mailbox is spraying water all over!!
2026-02-10T23:19:12.407314+00:00,Homeowner,Issues,Reported Severe Issue: The sprinkler next to my mailbox is spraying water all over!!
2026-02-10T22:55:57.643113+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 7
2026-02-10T22:55:51.813167+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 7
2026-02-10T22:11:13.028831+00:00,Homeowner,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 6
2026-02-10T22:10:47.088996+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 6
2026-02-10T22:09:33.497722+00:00,Homeowner,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 5
2026-02-10T22:09:17.222018+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 5
2026-02-10T22:09:03.104013+00:00,Homeowner,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 5 (50 head(s))
2026-02-10T22:03:04.331211+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Zone -> Pump Start Relay
2026-02-10T22:00:37.897810+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Enabled: off -> on
2026-02-10T22:00:03.265419+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Pump Start Relay -> Zone
2026-02-10T21:59:43.698933+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 1
2026-02-10T21:59:27.482998+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-10T21:57:32.809837+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 4 (1 head(s))
2026-02-10T21:57:24.872526+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 4 (1 head(s))
2026-02-10T21:46:25.396496+00:00,Management,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_11, switch.irrigation_ctrl_v2_793a8c_zone_12"
2026-02-10T21:44:52.746966+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 1 (5 head(s))
